0,260881,land reform a redistribution of agricultural land especially by government action
1,260622,reform a change for the better as a result of correcting abuses justice was for sale before the reform of the law courts
2,1332730,cover provide with a covering or cause to be covered cover her face with a handkerchief cover the child with a blanket cover the grave with flowers
3,3122748,covering an artifact that covers something else usually to protect or shelter or conceal it
4,6066555,phytology the branch of biology that studies plants
5,645415,botanize collect and study plants
6,9322930,kamet a mountain in the Himalayas in northern India 
7,9360122,mountain peak the summit of a mountain
8,7193596,question an instance of questioning there was a question about my training we made inquiries of all those who were present
9,784342,inquire inquire about I asked about their special today He had to ask directions several times
10,1768969,class arachnida a large class of arthropods including spiders and ticks and scorpions and daddy longlegs have four pairs of walking legs and no wings   pointedly referring to or concerning a persons individual personality or intimate affairs especially offensively unnecessarily personalized remarks
11,2636811,spidery relating to or resembling a member of the class Arachnida
12,1455754,run up raise hoist the flags hoist a sail
13,1974062,raise raise from a lower to a higher position Raise your hands Lift a load
14,7554856,empathy understanding and entering into anothers feelings
15,7553301,sympathy sharing the feelings of others especially feelings of sorrow or anguish
16,57306,pullout to break off a military action with an enemy
17,56912,retreat military withdrawal of troops to a more favorable position to escape the enemys superior forces or after a defeat the disorderly retreat of French troops
18,10341660,variation biology an organism that has characteristics resulting from chromosomal alteration
19,2661252,vary be at variance with be out of line with
20,13219258,genus equisetum horsetails coextensive with the family Equisetaceae
21,13167078,fern genus genera of ferns and fern allies
22,1698271,write produce a literary work She composed a poem He wrote four novels
23,1754576,write up put into writing write in complete form write out a contract
24,10499355,queen regnant a female sovereign ruler
25,10083823,female aristocrat a woman who is an aristocrat
26,2103406,working dog any of several breeds of usually large powerful dogs bred to work as draft animals and guard and guide dogs
27,2084071,domestic dog a member of the genus Canis probably descended from the common wolf that has been domesticated by man since prehistoric times occurs in many breeds the dog barked all night
28,7190941,charge request for payment of a debt they submitted their charges at the end of each month
29,7185325,request the verbal act of requesting
30,12090318,primulaceae a dicotyledonous family of the order Primulales with a regular flower widely distributed in the northern hemisphere
31,12093769,glaux sea milkwort
32,12213635,proteaceae large family of Australian and South African shrubs and trees with leathery leaves and clustered mostly tetramerous flowers constitutes the order Proteales
33,12214245,green dinosaur a living fossil or socalled `green dinosaur genus or subfamily of primitive nutbearing trees thought to have died out  million years ago a single specimen found in  on Mount Bartle Frere in eastern Australia not yet officially named
34,2651424,lodge provide housing for We are lodging three foreign students this semester
35,2672371,accommodation living quarters provided for public convenience overnight accommodations are available
36,10668450,surmounter someone who overcomes and establishes ascendancy and control by force or persuasion
37,10525134,restrainer a person who directs and restrains
38,1837746,piciformes woodpeckers jacamars puffbirds barbets honey guides toucans
39,1342529,animal order the order of animals
40,4692908,chip a mark left after a small piece has been chopped or broken off of something
41,1259005,nick cut a nick into
42,848169,traduce speak unfavorably about She badmouths her husband everywhere
43,6719579,traducement a false accusation of an offense or a malicious misrepresentation of someones words or actions
44,10483138,propagator someone who spreads the news
45,968211,spread cause to become widely known spread information circulate a rumor broadcast the news
46,3631445,lacing a cord that is drawn through eyelets or around hooks in order to draw together two edges as of a shoe or garment
47,1521603,lace up draw through eyes or holes lace the shoelaces
48,8135342,justice department the United States federal department responsible for enforcing federal laws including the enforcement of all civil rights legislation created in 
49,8123167,executive department a federal department in the executive branch of the government of the United States
50,12219065,needlewood large bushy shrub with pungent pointed leaves and creamy white flowers central and eastern Australia
51,13112664,shrub a low woody perennial plant usually having several major stems
52,257269,expand become larger in size or volume or quantity his business expanded rapidly
53,230746,grow become larger
54,4216634,sieve a strainer for separating lumps from powdered material or grading particles
55,1460029,strain separate by passing through a sieve or other straining device to separate out coarser elements sift the flour
56,7306252,scandal a disgraceful event
57,1810447,shock strike with disgust or revulsion The scandalous behavior of this married woman shocked her friends
58,2261757,trogium pulsatorium a variety of booklouse
59,2261419,liposcelis divinatorius minute wingless psocopterous insects injurious to books and papers
60,8730550,taiwan a government on the island of Taiwan established in  by Chiang Kaishek after the conquest of mainland China by the Communists led by Mao Zedong
61,9733899,taiwanese a native or inhabitant of Taiwan
62,4085873,stone facing a facing usually masonry that supports an embankment
63,1271658,revet construct a revetment
64,4337740,striker the part of a mechanical device that strikes something
65,1410223,strike deliver a sharp blow
66,3522863,hitch a connection between a vehicle and the load that it pulls
67,3091374,connexion an instrumentality that connects he soldered the connection he didnt have the right connector between the amplifier and the speakers
68,1781478,pious having or showing or expressing reverence for a deity pious readings
69,4826771,piousness righteousness by virtue of being pious
70,12418065,sisyrinchium chiefly North American grasslike herbs
71,11561228,liliid monocot genus genus of monocotyledonous plants comprising mostly herbs having usually petaloid sepals and petals and compound pistils
72,5034989,valency biology a relative capacity to unite or react or interact as with antigens or a biological substrate
73,6037666,biology the science that studies living organisms
74,9617161,panegyrist an orator who delivers eulogies or panegyrics
75,6694149,pean a formal expression of praise
76,12319687,genus carya genus of large deciduous nutbearing trees United States and China
77,12321077,pecan tree tree of southern United States and Mexico cultivated for its nuts
78,9809749,army officer an officer in the armed forces hes a retired army officer
79,10317007,officer any person in the armed services who holds a position of authority or command an officer is responsible for the lives of his men
80,11647131,genus agathis kauri pine
81,11554175,gymnosperm genus a genus of gymnosperms
82,12493208,ceratonia siliqua evergreen Mediterranean tree with edible pods the biblical carob
83,12493426,locust pod long pod containing small beans and sweetish edible pulp used as animal feed and source of a chocolate substitute
84,12526178,prickleweed perennial herb of North American prairies having dense heads of small white flowers
85,12205694,herbaceous plant a plant lacking a permanent woody stem many are flowering garden plants or potherbs some having medicinal properties some are pests
86,1634424,manufacture make up something artificial or untrue
87,1634142,think up devise or invent He thought up a plan to get rich quickly noone had ever thought of such a clever piece of software
88,692329,abstract consider a concept without thinking of a specific example consider abstractly or theoretically
89,690614,view deem to be She views this quite differently from me I consider her to be shallow I dont see the situation quite as negatively as you do
90,2282082,tank store in a tank by causing something to flow into it
91,4388743,tank a large usually metallic vessel for holding gases or liquids
92,561714,run out exhaust the supply of We ran out of time just as the discussion was getting interesting
93,1157517,wipe out use up resources or materials this car consumes a lot of gas We exhausted our savings They run through  bottles of wine a week
94,6329313,neuter a gender that refers chiefly but not exclusively to inanimate objects neither masculine nor feminine
95,60477,spay remove the ovaries of Is your cat spayed
96,10065066,ethicist a philosopher who specializes in ethics
97,6159473,moral philosophy the philosophical study of moral values and rules
98,13425637,acetylation the process of introducing an acetyl group into a compound the acetylation of cyclooxygenase by aspirin
99,524299,acetylize receive substitution of an acetyl group the compounds acetylated
100,2519183,posture behave affectedly or unnaturally in order to impress others Dont pay any attention to himhe is always posing to impress his peers She postured and made a total fool of herself
101,2518161,deport behave in a certain manner She carried herself well he bore himself with dignity They conducted themselves well during these difficult times
102,729108,preparation preparatory school work done outside school especially at home
103,602805,train undergo training or instruction in preparation for a particular role
104,6718862,ethnic slur a slur on someones race or language
105,9716439,wop ethnic slur offensive term for a person of Italian descent
106,12108742,genus arrhenatherum oat grass
107,11744859,plant genus a genus of plants
108,845909,pick at express a negative opinion of She disparaged her students efforts
109,10009671,knocker one who disparages or belittles the worth of something
110,7439284,fluttering the motion made by flapping up and down
111,1901783,wave move in a wavy pattern or with a rising and falling motion The curtains undulated the waves rolled towards the beach
112,9275473,europe the nd smallest continent actually a vast peninsula of Eurasia the British use `Europe to refer to all of the continent except the British Isles
113,9012297,republic of estonia a republic in northeastern Europe on the Baltic Sea
114,3619396,outfit gear consisting of a set of articles or tools for a specified purpose
115,2339413,outfit provide with something usually for a specific purpose The expedition was equipped with proper clothing
116,226566,intensify become more intense The debate intensified His dislike for raw fish only deepened in Japan
117,374224,intensification action that makes something stronger or more extreme
118,7762244,papaya large oval melonlike tropical fruit with yellowish flesh
119,7705931,edible fruit edible reproductive body of a seed plant especially one having sweet flesh
120,8969798,casablanca a port on the Atlantic and the largest city of Morocco
121,8524735,urban center a large and densely populated urban area may include several independent administrative districts Ancient Troy was a great city
122,1024190,refer make reference to His name was mentioned in connection with the invention
123,6333653,name a language unit by which a person or thing is known his name really is George Washington those are two names for the same thing
124,9959387,constitutionalist an advocate of constitutional government
125,9774783,proponent a person who pleads for a cause or propounds an idea
126,12191587,ochroma lagopus forest tree of lowland Central America having a strong very light wood used for making floats and rafts and in crafts
127,13109733,flowering tree any tree having seeds and ovules contained in the ovary
128,7047804,adagio music a composition played in adagio tempo slowly and gracefully they played the adagio too quickly
129,7020895,music an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
130,13820655,average sports the ratio of successful performances to opportunities
131,13819207,ratio the relative magnitudes of two quantities usually expressed as a quotient
132,8929922,french republic a republic in western Europe the largest country wholly in Europe
133,13753430,sextillion the number that is represented as a one followed by  zeros
134,452512,make full make full
135,1695567,shade represent the effect of shade or shadow on
136,3376595,folding chair a chair that can be folded flat for storage
137,4119892,stave a crosspiece between the legs of a chair
138,13624873,kilolitre a metric unit of volume or capacity equal to  liters
139,13616054,metric capacity unit a capacity unit defined in metric terms
140,10640620,spouse a persons partner in marriage
141,1428853,pair engage in sexual intercourse Birds mate in the Spring
142,680485,weight present with a bias He biased his presentation so as to please the share holders
143,6211078,slant a biased way of looking at or presenting something
144,10688356,tactician a person who is skilled at planning tactics
145,6248968,tactics the branch of military science dealing with detailed maneuvers to achieve objectives set by strategy
146,9795124,announcer reads news
147,9875786,broadcaster someone who broadcasts on radio or television
148,9754051,abator a person who abates a nuisance
149,245289,slake make less active or intense
150,6162979,ontology computer science a rigorous and exhaustive organization of some knowledge domain that is usually hierarchical and contains all the relevant entities and their relations
151,5726596,system an organized structure for arranging or classifying he changed the arrangement of the topics the facts were familiar but it was in the organization of them that he was original he tried to understand their system of classification
152,4560113,water heater a heater and storage tank to supply heated water
153,1456463,snip off sever or remove by pinching or snipping nip off the flowers
154,3044934,clipper scissors for cutting hair or finger nails often used in the plural
155,7933799,cupper a cup of tea
156,7933274,tea a beverage made by steeping tea leaves in water iced tea is a cooling drink
157,13477023,phylogeny biology the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
158,545557,evolve gain through experience I acquired a strong aversion to television Children must develop a sense of right and wrong Dave developed leadership qualities in his new position develop a passion for painting
159,12545232,prairie trefoil North American annual with red or rosecolored flowers
160,13118707,suffrutex lowgrowing woody shrub or perennial with woody base
161,14323683,aching a dull persistent usually moderately intense pain
162,2121511,suffer feel physical pain Were you hurting after the accident
163,2349212,trust confer a trust upon The messenger was entrusted with the generals secret I commit my soul to God
164,13929852,trust a trustful relationship he took me into his confidence he betrayed their trust
165,242003,resumption beginning again
166,346537,recommence begin again we recommenced his reading after a short nap
167,1146039,curb the act of restraining power or action or limiting excess his common sense is a bridle to his quick temper
168,1145359,restraint the act of controlling by restraining someone or something the unlawful restraint of trade
169,2497824,appeal challenge a decision She appealed the verdict
170,1185611,appeal law a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower courts judgment or the granting of a new trial their appeal was denied in the superior court
171,3813704,navy yard a military shipyard
172,8199025,war machine the military forces of a nation their military is the largest in the region the military machine is the same one we faced in  but now it is weaker
173,4060647,receiving system set that receives radio or tv signals
174,2107248,receive register perceptual input pick up a signal
175,15101586,touchwood material for starting a fire
176,2761685,kindle catch fire The dried grass of the prairie kindled
177,6158185,orientalism the scholarly knowledge of Asian cultures and languages and people
178,6153846,liberal arts studies intended to provide general knowledge and intellectual skills rather than occupational or professional skills the college of arts and sciences
179,10512562,recruiter an official who enlists personnel for military service
180,1098452,recruit cause to assemble or enlist in the military raise an army recruit new soldiers
181,12834408,waterleaf family perennial woodland herbs
182,12834671,hydrophyllum waterleaf
183,12850718,leonotis small genus of tropical herbs and subshrubs of South Africa
184,11579418,asterid dicot genus genus of more or less advanced dicotyledonous herbs and some trees and shrubs
185,244625,digest make more concise condense the contents of a book into a summary
186,3087366,optical condenser lens used to concentrate light on an object
187,3003928,afghanistani of or relating to or characteristic of Afghanistan or its people
188,8703454,islamic state of afghanistan a mountainous landlocked country in central Asia bordered by Iran to the west and Russia to the north and Pakistan to the east and south Soviet troops invaded Afghanistan in 
189,268112,service periodic maintenance on a car or machine it was time for an overhaul on the tractor
190,267522,upkeep activity involved in maintaining something in good working order he wrote the manual on car care
191,7825972,soy sauce thin sauce made of fermented soy beans
192,7810907,condiment a preparation a sauce or relish or spice to enhance flavor or enjoyment mustard and ketchup are condiments
193,9189411,africa the second largest continent located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean
194,8759420,republic of benin a country on western coast of Africa formerly under French control
195,3955296,planing machine a power tool for smoothing or shaping wood
196,1249490,shave cut or remove with or as if with a plane The machine shaved off fine layers from the piece of wood
197,8081403,defense sports the team that is trying to prevent the other team from scoring his teams are always good on defense
198,8208560,team a cooperative unit especially in sports
